** PREAMBLE OMITTED

MSG	2595507 NO Reply is disabled for function eyelink_cal_result
MSG	2595737 RECCFG CR 1000 2 0 R
MSG	2595737 ELCLCFG MTABLER
MSG	2595737 GAZE_COORDS 0.00 0.00 1920.00 1080.00
MSG	2595737 THRESHOLDS R 98 226
MSG	2595737 ELCL_WINDOW_SIZES 176 188 0 0
MSG	2595737 CAMERA_LENS_FOCAL_LENGTH 38.00 
MSG	2595737 PUPIL_DATA_TYPE RAW_AUTOSLIP
MSG	2595737 ELCL_PROC CENTROID (3)
MSG	2595737 ELCL_PCR_PARAM 5 3.0
START	2595738 	RIGHT	SAMPLES	EVENTS
PRESCALER	1
VPRESCALER	1
PUPIL	DIAMETER
EVENTS	GAZE	RIGHT	RATE	1000.00	TRACKING	CR	FILTER	2
SAMPLES	GAZE	RIGHT	RATE	1000.00	TRACKING	CR	FILTER	2
MSG	2595738 !MODE RECORD CR 1000 2 0 R

MSG	3059074 start fixation A 1
3059074	   .	   .	    0.0	...
3059075	   .	   .	    0.0	...
3059076	   .	   .	    0.0	...
3059077	   .	   .	    0.0	...
3059078	   .	   .	    0.0	...
3059079	   .	   .	    0.0	...
3059080	   .	   .	    0.0	...
3059081	   .	   .	    0.0	...
3059082	   .	   .	    0.0	...
3059083	   .	   .	    0.0	...
3059084	   .	   .	    0.0	...
3059085	   .	   .	    0.0	...
3059086	   .	   .	    0.0	...
3059087	   .	   .	    0.0	...
3059088	   .	   .	    0.0	...
3059089	   .	   .	    0.0	...
3059090	   .	   .	    0.0	...
3059091	   .	   .	    0.0	...
3059092	   .	   .	    0.0	...
3059093	   .	   .	    0.0	...
3059094	   .	   .	    0.0	...
3059095	   .	   .	    0.0	...
3059096	   .	   .	    0.0	...
3059097	   .	   .	    0.0	...
3059098	   .	   .	    0.0	...
3059099	   .	   .	    0.0	...
3059100	   .	   .	    0.0	...
3059101	   .	   .	    0.0	...
3059102	   .	   .	    0.0	...
3059103	   .	   .	    0.0	...
3059104	   .	   .	    0.0	...
3059105	   .	   .	    0.0	...
3059106	   .	   .	    0.0	...
3059107	   .	   .	    0.0	...
3059108	   .	   .	    0.0	...
3059109	   .	   .	    0.0	...
3059110	   .	   .	    0.0	...
3059111	   .	   .	    0.0	...
3059112	   .	   .	    0.0	...
3059113	   .	   .	    0.0	...
3059114	   .	   .	    0.0	...
3059115	   .	   .	    0.0	...
3059116	   .	   .	    0.0	...
3059117	   .	   .	    0.0	...
3059118	   .	   .	    0.0	...
3059119	   .	   .	    0.0	...
3059120	   .	   .	    0.0	...
3059121	   .	   .	    0.0	...
3059122	   .	   .	    0.0	...
3059123	   .	   .	    0.0	...
3059124	   .	   .	    0.0	...
3059125	   .	   .	    0.0	...
3059126	   .	   .	    0.0	...
3059127	   .	   .	    0.0	...
3059128	   .	   .	    0.0	...
3059129	   .	   .	    0.0	...
3059130	   .	   .	    0.0	...
3059131	   .	   .	    0.0	...
3059132	   .	   .	    0.0	...
3059133	   .	   .	    0.0	...
3059134	   .	   .	    0.0	...
3059135	   .	   .	    0.0	...
